player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
Jabari Smith Jr,rebounds,6.5,7.6,17.0,6.2,65.0,OVER,7.0,6.6,52.0,48.0,HOT,21,fanduel,112,112,-148,47.2,44.1,53.4,Home: 1.08x | Rested: 1.03x,False,1.06,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Jamal Murray,rebounds,3.5,5.0,42.0,6.1,63.0,OVER,4.2,4.4,57.0,43.0,COLD,23,fanduel,-152,-152,114,60.3,56.3,66.4,Home: 1.20x | Rested: 1.03x,False,0.93,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Jaylen Brown,threes,2.5,1.9,-23.6,6.1,63.0,UNDER,2.2,2.1,33.0,67.0,NEUTRAL,24,fanduel,-186,144,-186,65.0,61.3,71.1,Home: 0.82x | Rested: 1.03x,False,1.08,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Nikola Jokic,rebounds,11.5,12.7,10.3,5.9,75.0,OVER,11.6,12.2,58.0,42.0,COLD,24,fanduel,102,102,-136,49.5,46.2,55.4,Home: 1.07x | Rested: 1.03x,False,0.99,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Ivica Zubac,pra,32.5,29.2,-10.3,5.8,78.0,UNDER,31.0,30.6,36.0,64.0,NEUTRAL,25,fanduel,-122,-108,-122,55.0,51.4,60.8,Home: 0.90x | Rested: 1.03x,False,1.04,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Ja Morant,points,19.5,16.9,-13.2,5.7,57.0,UNDER,15.2,18.2,38.0,62.0,COLD,13,fanduel,-120,-110,-120,54.5,51.0,60.2,Rested: 1.03x,False,0.92,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Nicolas Batum,points,5.5,4.1,-25.0,5.6,60.0,UNDER,5.4,4.5,48.0,52.0,HOT,25,fanduel,-110,-120,-110,52.4,49.0,58.0,Home: 0.69x | Rested: 1.03x | Mins: 1.15x,False,1.18,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Jonas Valanciunas,rebounds,4.5,5.3,18.0,5.5,67.0,OVER,4.8,4.7,50.0,50.0,NEUTRAL,24,fanduel,114,114,-152,46.7,43.7,52.2,Home: 1.11x | Rested: 1.03x,False,1.03,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Derrick White,assists,5.5,5.2,-5.5,5.1,72.0,UNDER,5.6,5.2,33.0,67.0,HOT,24,fanduel,-130,102,-130,56.5,53.3,61.6,Rested: 1.03x,False,0.97,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Kevin Durant,threes,1.5,2.0,33.0,5.1,59.0,OVER,1.8,1.8,60.0,40.0,NEUTRAL,20,fanduel,-188,-188,140,65.3,61.0,70.4,Home: 1.06x | Rested: 1.03x,False,0.97,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
