prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
be195dd4a64cb831:pra:29.5:under,Zion Williamson,pra,29.5,-114,PASS,-0.0327,0.2,29.5,0.5,,,UNKNOWN,,,,0,,0,,0
d1991c3f6dd1389a:pra:40.5:over,Anthony Davis,pra,40.5,-110,PASS,-0.3103,0.5729,33.79,0.2135,,,FLAT,33.6,32.5,34.07692307692308,0,,0,,0
d1991c3f6dd1389a:pra:40.5:under,Anthony Davis,pra,40.5,-118,UNDER,0.2452,0.5729,33.79,0.7865,,,FLAT,33.6,32.5,34.07692307692308,-1,0.7,10,0.6923,13
56921d9666b86a8e:pra:18.5:over,Jeremiah Fears,pra,18.5,-104,PASS,-0.0098,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
56921d9666b86a8e:pra:18.5:under,Jeremiah Fears,pra,18.5,-127,PASS,-0.0595,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:rebounds:5.5:over,Trey Murphy III,rebounds,5.5,-159,PASS,-0.1139,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:rebounds:5.5:under,Trey Murphy III,rebounds,5.5,118,PASS,0.0413,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
75bb0beb4aef286b:rebounds:4.5:over,Naji Marshall,rebounds,4.5,-109,PASS,-0.0215,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
75bb0beb4aef286b:rebounds:4.5:under,Naji Marshall,rebounds,4.5,-121,PASS,-0.0475,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
08937c7231a9a619:rebounds:5.5:over,Cooper Flagg,rebounds,5.5,-135,PASS,0.1125,0.2739,6.26,0.687,QUESTIONABLE,NBA Official Report,FLAT,6.2,6.2,6.133333333333334,0,,0,,0
08937c7231a9a619:rebounds:5.5:under,Cooper Flagg,rebounds,5.5,103,PASS,-0.1796,0.2739,6.26,0.313,QUESTIONABLE,NBA Official Report,FLAT,6.2,6.2,6.133333333333334,0,,0,,0
d1991c3f6dd1389a:rebounds:11.5:over,Anthony Davis,rebounds,11.5,-134,PASS,-0.0669,0.2,11.54,0.5057,,,UP,11.8,10.9,11.153846153846153,0,,0,,0
d1991c3f6dd1389a:rebounds:11.5:under,Anthony Davis,rebounds,11.5,101,PASS,-0.0033,0.2,11.54,0.4943,,,UP,11.8,10.9,11.153846153846153,0,,0,,0
231fe865ee873acd:rebounds:3.5:over,Herb Jones,rebounds,3.5,-104,PASS,0.1817,0.3829,4.0,0.6915,,,FLAT,4.0,4.0,4.0,0,,0,,0
231fe865ee873acd:rebounds:3.5:under,Herb Jones,rebounds,3.5,-126,PASS,-0.249,0.3829,4.0,0.3085,,,FLAT,4.0,4.0,4.0,0,,0,,0
be195dd4a64cb831:rebounds:5.5:over,Zion Williamson,rebounds,5.5,-131,PASS,-0.0671,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
